Aristocystitidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinosphaeritidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caryocystitidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,?F,F2,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stichocystidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyptocystitidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cystoblastidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,?F,F2,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhomboferidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheirocrinidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,F1,1,1,1,1,1,1,L2,?L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinoencrinitidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,F1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurocystitidae,Animalia,Echinodermata,,M,,,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
