Isididae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Keroeididae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Melithaeidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1
Parisididae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Primnoidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uncertain,Animalia,Coelenterata,?name p108,M,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennatulidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,?,?,?,?,F2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pteroeididae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,?F,?,?,F2,1,1,1,1,1,1,1,1
Virgulariidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
? Septodaeidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilbuchophyllidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocoeniidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thamnasteriidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pocilloporidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Acroporidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stylinidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,
Procyclolitidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calamophylliidae,Animalia,Coelenterata,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,
