Nanpanaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,
Huananaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,
Sanchaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,L2,?L,,,,,,,,,
Sanqiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,1,L2,?L,,,,,,,,
Qingmenaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,
Unnamed,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,
Hardistiellidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,
Mayomyzonidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
Pipisciidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
Gilpichthyidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL
Astraspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,
